ResponseId	Age	Gender	Tromp	Duration	SleepEfficiency.criteria	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Moral_SCA	Moral_CAR	Age_correct
100	25	1	0	364	0	10	5	8	7	61.95	34	0.928571428571429	1
101	30	1	1	670	1	16	7	7	7	44.44	34	0.5	1
103	33	2	0	1798	1	15	8	6	7	34.12	24	0.428571428571429	1
104	43	1	0	4641	1	13	7	7	7	65.34	37	0.857142857142857	1
105	37	1	0	582	1	16	7	8	8	67.29	32	0.714285714285714	1
106	29	1	0	400	1	17	9	7	7	75.07	34	1	1
107	27	1	0	1178	1	16	5	7	7	42.66	34	0.642857142857143	1
108	33	2	0	391	1	16	7	8	8	9.02	29	0.428571428571429	1
109	37	2	0	663	1	14	8	6	6	20	33	0.857142857142857	1
110	26	1	0	1783	1	14	8	7	8	65.81	39	0.857142857142857	1
111	28	1	0	1030	1	13	7	8	8	53.42	35	1	1
112	48	1	0	789	1	15	7	7	6	20	31	1	1
113	35	1	0	419	1	18	8	8	9	66.72	41	0.714285714285714	1
114	48			103						0	34		1
115	47			189						15.75	29		1
118	27	1	1	347	1	7	1	0	2	68.69	40	0.5	1
120	29	2	0	631	1	14	7	8	9	60.39	37	0.857142857142857	1
121	23			163						70.56			1
125	48	2	1	285	1	6	5	6	6	106.9	30	0.5	1
126	35			375						41.6	32		1
127	42	1	1	185	1	12	5	8	6	66.79	35	0.5	1
130	25		1	225						84.23	32		1
133	30	1	1	947	1	10	10	6	6	31.4	40	0.714285714285714	1
134	27			557						70.12			1
136	32	2	0	692	1	13	0	6	2	8.25	31	1	1
137	27	1	0	993	1	18	6	8	8	14.82	32	1	1
138	25	1	0	389	0	14	4	11	10	68.48	27	0.5	1
139	24	2	0	521	1	16	8	8	6	35.93	36	0.571428571428571	1
140	35	2	0	419	1	10	5	6	6	48.41	38	1	1
141	38	1	0	1030	1	19	9	6	6	52.9	39	0.785714285714286	1
142	50	1	0	366	1	18	7	8	8	27.74	25	0.5	1
