ResponseId	Age	Gender	Tromp	Duration	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Submarine_1	Trespassers_1	Hostages_1	Liferaft_1	PlaneCrash_1	PrisWar_1	Spelunkers_1	Soldier_1	Surgery_1	Footbridge_1	Cryingbaby_1	CRT_TOT	Num_TOT	AOT_TOT	Psych_TOT	Narc_TOT	Mach_TOT	Age_correct
53	25	1	2	1270	8	8	6	5	68.54	6.28	2.06	8.11	10	7.28	2.47	10	3.42	8.11	2.7	8.11	3	2	27	32	26	33	1
54	48	2	2	1351	7	8	7	7	71.45	10	5.1	4.03	8.74	0	6.87	8.81	8.97	2.35	7.28	9.3	1	2	28	11	23	23	1
55	34	2	2	454	4	7	8	8	86.57	10	8.25	9.4	10	2.65	9.34	9.2	9.07	8.13	9.32	1.21	4	1	28	17	28	31	1
56	39	2	2	878	6	5	6	6	40.08	0	10	10	0.02	0	10	9.9	0.06	0	0.1	0	3	3	31	15	15	24	1
57	43	2	2	827	6	7	7	6	3.08	0	0	0	0	0	1.21	0.29	1.23	0	0.31	0.04	3	1	31	14	26	24	1
59	44	1	2	487	1	0	6	6	13.99	2.67	1.01	1.63	1.83	0	1.4	2.26	2.8	0	0.39	0	6	2	29	26	39	29	1
60	36	2	2	463	2	6	9	9	59.52	6.98	7.59	6.81	6.75	1.52	6.93	4.67	7.06	2.76	3.33	5.12	7	2	37	16	9	16	1
61	38	2	2	966	3	5	6	6	26.58	1.3	2.49	2.37	3.77	4.47	4.2	3.81	4.03	0.06	0	0.08	3	1	23	13	22	17	1
62	39	2	2	836	7	5	6	5	1.71	0	0.02	0	0.08	0	0	1.38	0.23	0	0	0	6	3	33	18	22	25	1
63	47	2	2	1780	10	10	8	7	108.2	8.4	10	10	9.86	10	10	10	10	10	9.94	10	0	1	25	32	31	41	1
64	45	1	2	607	7	7	7	7	15.16	2.14	1.15	1.3	1.34	1.5	1.23	0.78	1.07	1.5	1.38	1.77	6	2	28	19	24	22	1
65	31	1	2	457	7	8	6	7	21.66	1.52	0	0.64	1.91	0	6.36	1.98	6.91	0	0.49	1.85	6	3	36	13	16	32	1
66	30	1	2	417	8	3	8	4	35.82	0.53	0	0	7.41	0	7.12	3.35	9.22	0	0	8.19	5	3	28	16	22	26	1
67	27	1	2	636	10	10	7	7	0	0	0	0	0	0	0	0	0	0	0	0	7	3	36	13	29	27	1
68	25	1	2	507	3	3	6	6	71.98	9.51	0.7	8.23	9.59	6.52	8.31	0.41	9.22	0	9.49	10	7	3	39	10	9	30	1
69	29	1	2	351	8	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	6	3	26	27	28	29	1
70	31	1	2	1102	5	4	6	5	61.65	7.51	5.6	3.83	8.93	2.08	8.89	8.74	2.9	0.84	5.68	6.65	6	3	37	28	29	23	1
72	48	1	2	703	5	5	6	6	77.98	10	10	10	10	0	10	10	10	0	0	7.98	4	0	32	12	21	26	1
73	30	1	2	397	5	7	8	9	53.93	6.36	7.2	5.68	6.09	0	6.75	7.59	5.84	1.13	3.4	3.89	5	2	34	27	21	33	1
74	32	1	2	709	8	9	7	7	32.35	6.98	3.25	3.87	2.9	0	2.63	5.93	0	0	0	6.79	6	3	31	27	18	33	1
76	29	2	2	1151	7	9	6	7	0	0	0	0	0	0	0	0	0	0	0	0	6	2	40	13	17	24	1
77	23	1	2	949	8	9	8	8	82.7	9.63	10	10	10	3.11	8.46	3	6.83	3.42	8.25	10	6	3	22	20	26	23	1
80	43	2	2	438	7	9	6	7	64.26	6.34	5.95	6.19	8.62	1.46	7.98	6.38	7.84	2.78	3.56	7.16	6	2	35	19	20	31	1
81	24	1	2	447	6	7	7	6	52.06	8.09	3.31	5.14	7.24	1.4	5.76	6.38	5.35	0.62	4.3	4.47	6	3	31	11	23	23	1
82	44	1	2	1579	6	6	5	5	85.79	9.4	7.57	10	10	7.7	10	10	7.37	1.05	3.17	9.53	7	2	17	27	26	38	1
85	32	2	2	811	3	2	5	6	57.24	3.15	6.48	6.52	6.13	1.89	9.01	3.6	8.13	0	2.33	10	6	3	28	19	10	30	1
86	22	1	2	386	7	6	7	7	8.69	2.49	1.4	1.19	0.91	0	0	0	0	0	0	2.7	2	2	37	14	34	24	1
87	27	2	2	2688	8	7	8	6	78.42	6.23	10	2.33	10	3.7	9.73	7.18	10	3.81	9.16	6.28	5	0	22	26	30	33	1
88	38	2	2	628	7	10	9	9	58.09	7.78	4.32	4.86	5.97	2.35	5.41	6.69	5.51	3.17	5.1	6.93	5	2	25	23	21	33	1
89	33	2	2	689	5	5	6	5	53.28	7.67	0.02	9.13	9.57	0	8.6	7.59	9.9	0.8	0	0	3	2	33	15	21	23	1
90	36	1	2	599	10	10	7	7	110	10	10	10	10	10	10	10	10	10	10	10	5	3	30	18	41	37	1
91	31	2	2	659	7	8	5	6	69.74	7	6.44	2.51	7	8.19	6.79	7.94	2.55	8.54	5.72	7.06	3	0	29	18	23	12	1
92	45	1	2	496	10	10	8	8	77.67	10	10	10	10	2.53	10	10	7.49	0	0	7.65	5	2	31	15	19	20	1
93	50	1	2	462	5	4	6	7	110	10	10	10	10	10	10	10	10	10	10	10	6	2	25	20	27	28	1
94	36	2	2	602	3	6	5	5	65.25	10	6.32	7.3	8.42	0.02	9.24	6.91	8.89	0	0.04	8.11	6	3	36	20	19	32	1
95	27	1	2	831	5	2	5	4	15	0.68	1.98	0	1.98	0	6.5	0.25	0.95	2.33	0.33	0	1	2	24	31	33	34	1
96	32	1	2	483	6	7	6	6	14.26	1.09	0	1.13	2.12	1.54	2.47	0.64	1.87	1.3	1.3	0.8	2	1	22	30	27	28	1
98	27	1	2	1427	6	8	9	7	70.57	7.24	1.5	7.96	2.57	8.85	8.58	3.85	9.24	10	2.1	8.68	4	1	24	25	27	31	1
99	39	2	2	447	10	9	9	8	74.94	8.89	7.9	10	10	4.96	10	10	0	0	8.09	5.1	1	2	29	24	33	29	1
100	45	2	2	882	7	7	6	6	40	10	0	0	10	0	0	10	10	0	0	0	3	1	24	18	29	28	1
101	28	1	2	392	8	9	8	8	60	10	0	0	10	0	10	10	10	0	0	10	4	2	40	22	21	43	1
102	26	1	2	452	4	3	7	6	36.63	8.74	0.23	0.62	4.61	2.1	2.22	5.56	6.26	0.37	1.19	4.73	6	2	32	22	18	21	1
103	38	1	2	485	8	9	8	8	64.75	7.84	6.67	2.12	8.48	3.23	9.67	8.81	8.87	0.23	0.99	7.84	6	3	32	13	29	30	1
104	31	1	2	534	1	0	4	3	12.69	2.14	2.53	2.24	2.57	0.84	1.34	0.56	0.08	0	0.39	0	1	3	35	19	17	19	1
106	26	1	2	532	10	7	6	6	66.72	7.94	6.69	5.78	7.2	3.87	6.69	6.28	4.61	7.33	6.26	4.07	0	0	23	31	31	36	1
107	50	1	2	695	7	5	7	7	33.73	1.36	0	0	2.39	0	0	10	10	0	0	9.98	6	3	27	26	22	27	1
108	33	1	2	426	6	8	9	8	51.47	8.05	6.38	7.06	4.4	1.54	2.51	0.99	8.37	3.05	7.12	2	4	1	25	39	35	31	1
109	28	2	2	1023	3	3	6	5	36.07	6.93	0.37	2.92	6.32	0	5.74	4.14	5.72	0	3.93	0	0	1	23	11	21	19	1
110	29	1	2	285	3	4	6	6	62.02	5.86	3.56	5.95	7.08	7.82	1.79	3.46	7.2	8.91	2.28	8.11	7	3	25	25	24	22	1
111	50	2	2	1011	4	4	5	6	68.18	7.24	8.37	8.31	7.41	3.15	8.62	5.6	8.05	1.38	5.56	4.49	7	3	35	12	18	26	1
112	38	2	2	972	8	8	8	8	25.08	7.33	4.18	2.1	6.77	0	3.44	0.29	0	0	0	0.97	7	3	32	10	21	19	1
113	37	1	2	312	6	4	7	6	80.42	9.53	7.67	7.2	10	1.26	9.26	7.78	10	2.8	6.36	8.56	7	3	38	15	11	30	1
114	38	1	2	495	4	1	5	4	16.95	2.37	0	0	0.27	0	0	0.29	7.33	0.02	0	6.67	5	2	35	20	22	31	1
116	37	1	2	740	6	4	6	5	62.84	6.91	0	6.67	6.73	4.79	7.67	7.06	7.65	5.1	3.08	7.18	5	2	35	18	36	25	1
